DEPTH       AMP3FT       AMPAVG       AMPMAX       AMPMIN       CCL          GR           LTEN         TT3FT        
17.0         3.2          1.5          2.5          0.5          0.0          109.2        -99999.0     472.0        
17.5         2.8          1.5          2.8          0.6          0.0          100.7        -99999.0     472.0        
18.0         2.4          0.8          1.3          0.2          0.0          89.9         250.0        472.0        
18.5         3.3          1.5          3.2          -0.2         0.0          87.2         275.3        472.0        
19.0         3.2          2.3          4.5          0.1          0.0          79.4         260.3        472.0        
19.5         2.2          1.6          3.0          0.5          2.0          55.0         219.9        472.0        
20.0         1.9          0.8          1.4          -0.0         0.0          26.1         246.8        472.0        
20.5         2.0          0.6          1.0          -0.3         0.0          10.2         217.6        472.0        
21.0         2.0          0.9          1.3          0.2          -2.0         6.0          226.3        472.0        
21.5         2.0          1.6          2.2          1.1          2.0          8.9          235.8        472.0        
22.0         2.2          1.7          2.7          0.8          2.0          14.9         245.3        472.0        
22.5         2.2          1.3          2.3          -0.2         0.0          19.1         235.8        472.0        
23.0         2.3          0.7          1.4          -0.7         0.0          21.0         252.4        472.0        
23.5         2.8          0.9          1.9          -0.7         0.0          23.4         234.2        472.0        
24.0         2.5          1.1          1.9          -0.5         0.0          27.8         237.4        472.0        
24.5         1.9          1.0          1.9          0.1          0.0          35.5         272.2        472.0        
25.0         2.1          1.2          2.2          0.2          0.0          42.0         284.0        472.0        
25.5         2.5          1.5          2.1          0.4          0.0          39.7         260.3        472.0        
26.0         2.8          1.9          3.1          0.4          0.0          35.6         271.4        472.0        
26.5         2.6          1.7          3.6          -0.6         0.0          32.2         251.6        472.0        
27.0         2.4          1.7          3.5          -0.2         -2.0         30.8         273.0        472.0        
27.5         2.2          2.0          3.3          0.2          0.0          32.0         284.0        471.8        
28.0         1.8          1.9          3.5          0.4          0.0          29.3         295.9        464.8        
28.5         1.2          3.5          5.9          0.4          0.0          25.8         242.1        429.3        
29.0         1.5          3.3          6.1          0.5          0.0          29.4         284.8        429.3        
29.5         2.4          2.1          2.9          1.1          0.0          39.1         272.2        464.8        
30.0         2.4          3.3          4.5          1.8          0.0          44.7         274.5        471.8        
30.5         2.9          4.2          7.6          2.1          0.0          43.1         264.3        472.0        
31.0         5.1          3.3          7.4          1.4          0.0          38.0         253.2        472.0        
31.5         4.6          2.4          4.2          1.2          0.0          34.3         234.2        472.0        
32.0         3.2          2.2          3.6          0.9          0.0          32.4         246.1        472.0        
32.5         4.0          2.3          4.0          0.9          0.0          33.9         242.1        471.5        
33.0         4.3          2.2          5.4          0.6          0.0          34.6         241.3        464.5        
33.5         5.0          3.1          5.1          1.0          0.0          31.5         260.3        453.8        
34.0         5.8          5.0          6.2          3.0          0.0          28.5         291.2        464.5        
34.5         4.3          3.9          5.3          2.6          0.0          26.5         269.8        471.5        
35.0         3.0          3.1          5.2          1.2          0.0          29.5         295.9        472.0        
35.5         3.3          3.1          5.0          1.8          0.0          39.2         250.8        472.0        
36.0         3.4          2.3          3.8          1.0          0.0          51.9         263.5        472.0        
36.5         2.9          1.5          3.0          0.6          0.0          52.9         277.7        472.0        
37.0         2.8          1.7          3.6          1.0          0.0          47.0         278.5        472.0        
37.5         2.8          1.8          4.4          0.1          0.0          47.5         263.5        472.0        
38.0         2.0          1.9          4.2          -0.6         0.0          46.9         280.1        472.0        
38.5         2.3          2.2          3.3          0.3          0.0          38.3         249.2        471.9        
39.0         2.9          2.8          4.2          1.4          0.0          28.5         287.2        468.6        
39.5         3.7          3.9          6.3          1.9          0.0          27.7         292.0        451.8        
40.0         5.5          3.4          5.7          1.7          0.0          29.8         276.1        451.8        
40.5         5.7          3.0          5.0          0.1          0.0          30.0         267.4        468.6        
41.0         3.6          1.7          3.6          0.2          0.0          30.4         274.5        471.9        
41.5         2.0          1.2          2.3          -0.2         0.0          33.1         261.1        472.0        
42.0         2.0          2.1          4.1          0.6          0.0          34.1         281.7        472.0        
42.5         2.7          2.6          3.9          1.2          0.0          34.7         288.8        472.0        
43.0         2.8          3.5          5.1          2.0          0.0          36.7         266.6        472.0        
43.5         2.7          5.2          6.8          3.1          0.0          37.6         269.8        472.0        
44.0         2.4          4.4          6.6          2.0          0.0          35.5         276.1        472.0        
44.5         2.1          2.6          4.1          1.0          0.0          35.1         263.5        472.0        
45.0         1.8          1.8          4.1          0.3          0.0          44.7         286.4        472.0        
45.5         1.7          1.2          2.4          -0.4         0.0          54.9         297.5        472.0        
46.0         2.1          2.3          4.1          1.4          0.0          54.8         265.8        472.0        
46.5         2.5          4.5          7.4          1.7          0.0          43.6         283.3        472.0        
47.0         2.3          3.5          5.6          1.8          -2.0         31.7         266.6        472.0        
47.5         3.2          2.8          5.4          1.3          0.0          25.1         270.6        472.0        
48.0         3.7          1.9          3.3          0.9          0.0          24.1         284.8        472.0        
48.5         4.6          1.6          3.4          -0.3         0.0          30.3         284.0        472.0        
49.0         3.4          1.9          4.3          -0.1         0.0          40.7         285.6        472.0        
49.5         2.3          1.7          2.9          1.1          0.0          52.5         286.4        472.0        
50.0         3.3          2.8          4.6          1.6          0.0          58.7         263.5        472.0        
50.5         3.4          3.3          6.6          1.8          0.0          56.4         262.7        472.0        
51.0         3.9          2.9          6.3          0.3          0.0          45.3         292.0        472.0        
51.5         4.0          3.4          5.9          -0.1         0.0          34.0         264.3        472.0        
52.0         2.7          2.8          4.2          0.1          0.0          34.4         260.3        472.0        
52.5         2.6          1.7          2.7          0.3          0.0          43.6         264.3        472.0        
53.0         3.9          2.1          3.4          0.6          0.0          51.1         280.1        472.0        
53.5         3.6          3.5          5.1          2.4          0.0          44.1         267.4        472.0        
54.0         3.1          4.7          7.9          2.6          0.0          30.2         283.3        472.0        
54.5         3.9          4.2          7.0          1.1          0.0          26.1         289.6        472.0        
55.0         3.4          2.4          4.3          0.8          0.0          30.7         269.8        472.0        
55.5         2.4          1.6          3.0          0.8          0.0          33.8         270.6        472.0        
56.0         2.6          2.5          5.0          0.8          0.0          34.1         273.8        472.0        
56.5         2.9          3.2          5.4          1.6          0.0          38.7         265.1        472.0        
57.0         2.5          3.6          7.3          1.4          0.0          41.0         286.4        472.0        
57.5         2.7          3.5          6.3          1.9          0.0          37.4         288.8        472.0        
58.0         2.7          3.2          5.7          0.7          0.0          39.0         269.0        472.0        
58.5         2.6          2.7          6.7          0.5          0.0          39.2         280.1        472.0        
59.0         2.5          1.5          3.2          -0.0         0.0          28.8         270.6        472.0        
59.5         2.7          2.0          3.0          0.2          0.0          29.2         266.6        472.0        
60.0         2.9          3.5          6.0          -0.1         0.0          37.9         284.8        472.0        
60.5         2.9          2.1          3.9          0.2          0.0          38.3         280.1        471.8        
61.0         3.6          1.7          3.4          1.1          0.0          34.6         268.2        465.4        
61.5         7.9          2.4          3.6          1.2          0.0          37.7         282.5        433.0        
62.0         8.5          2.8          4.3          0.5          0.0          41.4         263.5        433.0        
62.5         4.6          3.1          4.5          -0.0         0.0          38.5         267.4        465.4        
63.0         3.1          3.7          7.0          0.6          0.0          38.1         283.3        471.8        
63.5         3.3          4.4          8.2          1.0          0.0          43.1         288.0        472.0        
64.0         3.1          4.7          8.3          2.1          0.0          46.6         261.1        472.0        
64.5         2.2          3.9          7.1          2.3          0.0          47.6         281.7        472.0        
65.0         2.2          2.5          4.2          0.7          0.0          45.1         267.4        472.0        
65.5         2.9          3.2          5.2          0.8          0.0          38.5         266.6        472.0        
66.0         2.1          3.9          10.1         1.4          0.0          32.5         291.2        472.0        
66.5         1.7          3.0          7.5          1.0          0.0          32.3         292.0        472.0        
67.0         2.1          3.2          6.7          0.6          0.0          32.4         279.3        472.0        
67.5         2.1          4.4          7.1          0.9          0.0          26.7         284.0        472.0        
68.0         2.5          4.7          7.7          1.7          0.0          24.6         265.8        472.0        
68.5         3.9          3.2          4.8          1.8          0.0          28.7         271.4        472.0        
69.0         4.1          2.3          3.7          0.8          0.0          33.3         297.5        472.0        
69.5         4.3          2.7          4.8          1.2          0.0          37.3         292.0        472.0        
70.0         4.4          3.8          10.8         1.6          0.0          36.8         284.8        472.0        
70.5         2.7          2.6          5.3          0.6          0.0          34.0         282.5        472.0        
