WELLNAME,= 33846-CBL (1),,,,,,,
STDEP  =,17,,,,,,,
ENDEP  =,10431.5,,,,,,,
LEVEL  =,0.5,,,,,,,
CURNAMES,"AMP3FT, AMPAVG,","AMPMAX,","AMPMIN, CCL,","GR, LTEN, TT3FT",,,,
,,,,,,,,
#DEPTH,AMP3FT,AMPAVG,AMPMAX,AMPMIN,CCL,GR,LTEN,TT3FT
17,3.2,1.5,2.5,0.5,0,109.2,-99999,472
17.5,2.8,1.5,2.8,0.6,0,100.7,-99999,472
18,2.4,0.8,1.3,0.2,0,89.9,250,472
18.5,3.3,1.5,3.2,-0.2,0,87.2,275.3,472
19,3.2,2.3,4.5,0.1,0,79.4,260.3,472
19.5,2.2,1.6,3,0.5,2,55,219.9,472
20,1.9,0.8,1.4,0,0,26.1,246.8,472
20.5,2,0.6,1,-0.3,0,10.2,217.6,472
21,2,0.9,1.3,0.2,-2,6,226.3,472
21.5,2,1.6,2.2,1.1,2,8.9,235.8,472
22,2.2,1.7,2.7,0.8,2,14.9,245.3,472
22.5,2.2,1.3,2.3,-0.2,0,19.1,235.8,472
23,2.3,0.7,1.4,-0.7,0,21,252.4,472
23.5,2.8,0.9,1.9,-0.7,0,23.4,234.2,472
24,2.5,1.1,1.9,-0.5,0,27.8,237.4,472
24.5,1.9,1,1.9,0.1,0,35.5,272.2,472
25,2.1,1.2,2.2,0.2,0,42,284,472
25.5,2.5,1.5,2.1,0.4,0,39.7,260.3,472
26,2.8,1.9,3.1,0.4,0,35.6,271.4,472
26.5,2.6,1.7,3.6,-0.6,0,32.2,251.6,472
27,2.4,1.7,3.5,-0.2,-2,30.8,273,472
27.5,2.2,2,3.3,0.2,0,32,284,471.8
28,1.8,1.9,3.5,0.4,0,29.3,295.9,464.8
28.5,1.2,3.5,5.9,0.4,0,25.8,242.1,429.3
29,1.5,3.3,6.1,0.5,0,29.4,284.8,429.3
29.5,2.4,2.1,2.9,1.1,0,39.1,272.2,464.8
30,2.4,3.3,4.5,1.8,0,44.7,274.5,471.8
30.5,2.9,4.2,7.6,2.1,0,43.1,264.3,472
31,5.1,3.3,7.4,1.4,0,38,253.2,472
31.5,4.6,2.4,4.2,1.2,0,34.3,234.2,472
32,3.2,2.2,3.6,0.9,0,32.4,246.1,472
32.5,4,2.3,4,0.9,0,33.9,242.1,471.5
33,4.3,2.2,5.4,0.6,0,34.6,241.3,464.5
33.5,5,3.1,5.1,1,0,31.5,260.3,453.8
34,5.8,5,6.2,3,0,28.5,291.2,464.5
34.5,4.3,3.9,5.3,2.6,0,26.5,269.8,471.5
35,3,3.1,5.2,1.2,0,29.5,295.9,472
35.5,3.3,3.1,5,1.8,0,39.2,250.8,472
36,3.4,2.3,3.8,1,0,51.9,263.5,472
36.5,2.9,1.5,3,0.6,0,52.9,277.7,472
37,2.8,1.7,3.6,1,0,47,278.5,472
37.5,2.8,1.8,4.4,0.1,0,47.5,263.5,472
38,2,1.9,4.2,-0.6,0,46.9,280.1,472
38.5,2.3,2.2,3.3,0.3,0,38.3,249.2,471.9
39,2.9,2.8,4.2,1.4,0,28.5,287.2,468.6
39.5,3.7,3.9,6.3,1.9,0,27.7,292,451.8
40,5.5,3.4,5.7,1.7,0,29.8,276.1,451.8
40.5,5.7,3,5,0.1,0,30,267.4,468.6
41,3.6,1.7,3.6,0.2,0,30.4,274.5,471.9
41.5,2,1.2,2.3,-0.2,0,33.1,261.1,472
42,2,2.1,4.1,0.6,0,34.1,281.7,472
42.5,2.7,2.6,3.9,1.2,0,34.7,288.8,472
43,2.8,3.5,5.1,2,0,36.7,266.6,472
43.5,2.7,5.2,6.8,3.1,0,37.6,269.8,472
44,2.4,4.4,6.6,2,0,35.5,276.1,472
44.5,2.1,2.6,4.1,1,0,35.1,263.5,472
45,1.8,1.8,4.1,0.3,0,44.7,286.4,472
45.5,1.7,1.2,2.4,-0.4,0,54.9,297.5,472
46,2.1,2.3,4.1,1.4,0,54.8,265.8,472
46.5,2.5,4.5,7.4,1.7,0,43.6,283.3,472
47,2.3,3.5,5.6,1.8,-2,31.7,266.6,472
47.5,3.2,2.8,5.4,1.3,0,25.1,270.6,472
48,3.7,1.9,3.3,0.9,0,24.1,284.8,472
48.5,4.6,1.6,3.4,-0.3,0,30.3,284,472
49,3.4,1.9,4.3,-0.1,0,40.7,285.6,472
49.5,2.3,1.7,2.9,1.1,0,52.5,286.4,472
50,3.3,2.8,4.6,1.6,0,58.7,263.5,472
50.5,3.4,3.3,6.6,1.8,0,56.4,262.7,472
51,3.9,2.9,6.3,0.3,0,45.3,292,472
51.5,4,3.4,5.9,-0.1,0,34,264.3,472
52,2.7,2.8,4.2,0.1,0,34.4,260.3,472
52.5,2.6,1.7,2.7,0.3,0,43.6,264.3,472
53,3.9,2.1,3.4,0.6,0,51.1,280.1,472
53.5,3.6,3.5,5.1,2.4,0,44.1,267.4,472
54,3.1,4.7,7.9,2.6,0,30.2,283.3,472
54.5,3.9,4.2,7,1.1,0,26.1,289.6,472
55,3.4,2.4,4.3,0.8,0,30.7,269.8,472
55.5,2.4,1.6,3,0.8,0,33.8,270.6,472
56,2.6,2.5,5,0.8,0,34.1,273.8,472
56.5,2.9,3.2,5.4,1.6,0,38.7,265.1,472
57,2.5,3.6,7.3,1.4,0,41,286.4,472
57.5,2.7,3.5,6.3,1.9,0,37.4,288.8,472
58,2.7,3.2,5.7,0.7,0,39,269,472
58.5,2.6,2.7,6.7,0.5,0,39.2,280.1,472
59,2.5,1.5,3.2,0,0,28.8,270.6,472
59.5,2.7,2,3,0.2,0,29.2,266.6,472
60,2.9,3.5,6,-0.1,0,37.9,284.8,472
60.5,2.9,2.1,3.9,0.2,0,38.3,280.1,471.8
61,3.6,1.7,3.4,1.1,0,34.6,268.2,465.4
61.5,7.9,2.4,3.6,1.2,0,37.7,282.5,433
62,8.5,2.8,4.3,0.5,0,41.4,263.5,433
62.5,4.6,3.1,4.5,0,0,38.5,267.4,465.4
63,3.1,3.7,7,0.6,0,38.1,283.3,471.8
63.5,3.3,4.4,8.2,1,0,43.1,288,472
64,3.1,4.7,8.3,2.1,0,46.6,261.1,472
64.5,2.2,3.9,7.1,2.3,0,47.6,281.7,472
65,2.2,2.5,4.2,0.7,0,45.1,267.4,472
65.5,2.9,3.2,5.2,0.8,0,38.5,266.6,472
66,2.1,3.9,10.1,1.4,0,32.5,291.2,472
66.5,1.7,3,7.5,1,0,32.3,292,472
67,2.1,3.2,6.7,0.6,0,32.4,279.3,472
67.5,2.1,4.4,7.1,0.9,0,26.7,284,472
68,2.5,4.7,7.7,1.7,0,24.6,265.8,472
68.5,3.9,3.2,4.8,1.8,0,28.7,271.4,472
69,4.1,2.3,3.7,0.8,0,33.3,297.5,472
69.5,4.3,2.7,4.8,1.2,0,37.3,292,472
70,4.4,3.8,10.8,1.6,0,36.8,284.8,472
70.5,2.7,2.6,5.3,0.6,0,34,282.5,472
71,2.1,1.7,3.1,0.3,0,30,264.3,472
71.5,2.2,1.6,2.1,0.8,0,31.3,271.4,472
72,2.5,2.2,4.3,1.5,0,41.9,291.2,472
72.5,3.1,2.6,5.2,1.3,0,43.7,292.8,472
73,3.1,3.1,6.1,1.1,0,41.8,282.5,472
73.5,2.7,4.2,8.3,2.2,0,42.9,265.1,472
74,2.5,4.3,8.5,1.3,0,38.3,264.3,471.9
74.5,2.5,2.9,4.8,1.6,0,27.4,273.8,466.9
75,2.7,2.9,4.5,1.2,0,23.4,299.1,441.9
75.5,3.2,2.5,4.3,1.2,0,29.7,295.9,441.9
76,2.8,1.6,2.5,1.1,0,42.1,278.5,466.9
76.5,2.8,1.3,1.9,0.3,0,44.9,287.2,471.9
77,3.5,1.8,2.9,0.3,0,36.7,263.5,472
77.5,2.3,2.8,6,1,0,33.5,274.5,472
78,1.7,2.3,3.6,0.5,0,33.6,288.8,472
78.5,2.3,2.1,5.3,0.2,0,39.7,288.8,472
79,3.7,3.6,8.6,-0.6,0,46,276.9,472
79.5,4.1,4.6,7.6,0.4,0,47,279.3,472
80,3.4,4.2,7.2,2.6,2,45.9,271.4,472
80.5,3.4,4.8,5.7,4.1,0,43.3,288,472
81,3.6,3.4,4.4,2.7,0,45.7,297.5,472
81.5,4.4,3.4,4.9,1.4,0,50.8,295.9,472
82,4.5,3.2,4.1,1.4,0,53.3,267.4,472
82.5,3.5,2.5,4.1,1.8,0,77,275.3,472
83,2.6,2.4,3.6,1.6,0,117.4,261.1,471.9
83.5,2.6,2.2,3.7,0.9,0,125.2,269.8,467.3
84,3.8,2.7,5.5,1.5,0,106.6,277.7,433.2
84.5,5.8,5,9.1,2.9,0,92,278.5,375
85,8.3,8.5,13,5.8,0,69,255.6,334.4
85.5,12,13.6,16.4,11.1,0,43.7,265.1,314.3
86,14.9,20,22,17,0,42.3,260.3,309.2
86.5,19,26.4,28.1,23.1,0,57.8,273,306
87,21.9,31.5,34.2,28.5,0,67.7,271.4,304.1
87.5,21,31.6,35,27.7,0,68.5,275.3,306.7
88,16.7,25.8,29.4,20.5,0,67.8,246.1,316.4
88.5,15.6,23.4,26.9,20.7,0,66.8,255.6,316.6
89,18.7,26.8,30.2,24.7,0,66.1,247.6,307.7
89.5,20.1,30.1,33,27.6,0,60.7,246.8,305.3
90,22.6,34.9,39.8,30.5,0,51.1,261.9,304.2
90.5,32.1,45.4,52.3,40.6,0,43.2,262.7,302
91,39.3,53.3,63.7,45,0,46.9,237.4,297.6
91.5,40.8,62.2,69.1,55.4,0,62.2,255.6,294.1
92,42.5,70.4,74.1,65.1,0,61.4,235,293.3
92.5,44.1,72.1,78.1,67.1,0,45.3,233.4,292.3
93,45,72.5,77.8,68.3,0,46.2,248.4,291.5
93.5,45,74.6,80,70,0,67.4,246.1,290.5
94,45.1,77.1,85,72.2,0,81.3,222.3,289
94.5,47.5,78,83.1,73,0,85.3,242.1,289.4
95,49.4,79.4,84.3,73.5,0,93.8,242.9,289.7
95.5,50.6,80.8,87.1,72,0,94.5,242.1,289.1
96,51.5,81.7,88.6,73.5,0,81.4,242.1,288.6
96.5,51.8,82.4,89.1,77.9,0,70.1,235.8,288.3
97,52.2,83.5,89.9,78.7,0,61.8,222.3,288.2
97.5,52.7,83.7,89.6,77.8,0,59.3,228.6,288.4
98,52.7,84.3,91.4,78,0,65.3,219.2,288.3
98.5,53.4,84.8,91.2,79.4,0,63.5,230.2,288.2
99,53.7,85.7,91.6,80.4,0,60.9,240.5,287.9
99.5,54.2,86.7,92.8,80,0,71.5,238.1,287.7
100,54.8,87.3,93.2,80.5,0,74.9,210.4,287.8
100.5,54.7,87.5,92.9,81.5,0,76,231,288
101,55.3,88,93.1,81.4,0,84.2,213.6,288
101.5,56.2,88.7,94.9,82.2,0,92.1,223.1,287.8
102,56.3,88.1,94.6,82.5,0,86.7,229.4,287.1
102.5,56.1,88.3,92.9,83.8,0,70,235.8,286.6
103,55.6,89.1,94.7,84.2,0,61.8,220.7,287.3
103.5,55.4,89.9,95.9,83.9,0,61.9,216,287.8
104,55.6,90.5,94.9,84.9,0,62.6,213.6,287.7
104.5,56.5,91,95.3,86.6,0,60.8,229.4,287.5
105,57.8,90.7,99,84.9,0,64.7,233.4,287.5
105.5,57.7,90.3,95.6,86.5,0,71.2,238.1,287.6
106,56.7,90.8,94.6,86.5,0,76.3,219.9,287.7
106.5,57.8,91.5,94.5,86.8,0,89.3,221.5,287.7
107,60.3,92.7,95.4,88.2,0,90.4,212.8,288
107.5,61.7,93.5,95.9,90.6,0,71.4,234.2,287.6
108,60.2,93.2,96.1,90,0,57.9,230.2,287.1
108.5,58.4,92.8,97,88.8,0,66,230.2,287.2
109,58.2,93.2,99,88.9,0,77,207.3,287.7
109.5,57.9,93.8,99.2,89.8,0,82.6,223.9,287.8
110,58.9,94.7,101.3,90,0,81.9,212,287.5
110.5,59.3,95.1,100.8,90.1,0,73.7,231,287.5
111,59.1,94.7,100.4,91.2,0,62.1,236.6,287.4
111.5,59,94.8,98.9,92.6,0,52.5,235,287.3
112,59.1,95.3,97.3,93.6,0,52.8,208.1,286.9
112.5,59.4,95,98.3,91.8,0,67.4,220.7,286.7
113,60,95.7,97.9,93.1,0,80.3,208.9,286.9
113.5,60.7,96.8,99.7,94.6,0,85.1,223.1,287.1
114,60.7,96.3,100.6,93.3,0,93.4,218.4,287.4
114.5,59.5,94.8,99.1,90.8,0,91.1,229.4,287.6
115,57.9,93.1,97.8,88.6,0,75.8,209.7,287.8
115.5,57.5,92.7,95.6,89.1,0,66.5,230.2,287.9
116,57.7,93.2,94.8,89.8,0,62.3,219.9,287.6
116.5,57.6,93.5,97.4,88,0,74.5,238.1,287.5
117,57.8,95,98.6,90,0,87.6,238.1,287.4
117.5,58.6,96.6,102.6,93.9,0,84.3,229.4,287.3
118,60.5,97.2,103.5,93.7,0,79.5,205.7,287.2
118.5,59.9,95.8,97.2,93.5,0,77.7,227.9,287.3
119,58.5,93.9,95.8,92.1,0,80.8,213.6,287.3
119.5,59.1,94,95.3,92.9,0,88.9,220.7,287.3
120,60.1,95.1,95.9,94.1,0,84,236.6,287.2
120.5,60.3,93.6,95.5,91.5,0,73.5,228.6,287.3
121,59.9,94.1,99.1,91.7,0,68.2,220.7,287.4
121.5,59.1,95.3,98.4,93.6,0,72.7,235,287.4
